count,duration
0,0
1,7
1,18
1,14
2,13
1,66
1,24
1,9
2,34
0,0
1,15
1,26
1,4
1,12
1,4
1,84
1,14
1,8
1,19
1,38
1,56
2,10
1,92
1,37
1,18
1,18
1,95
1,5
0,0
0,0
1,76
0,0
1,7
1,21
1,57
1,72
1,228
1,35
1,19
1,4
1,15
1,15
1,6
1,8
1,33
2,23
1,4
1,9
1,19
1,49
1,37
1,16
1,5
1,9
2,23
1,47
1,19
2,10
4,158
0,0
1,18
2,51
2,39
1,11
1,9
1,14
1,25
1,16
1,28
1,12
1,16
1,8
1,178
1,15
2,53
2,8
2,9
1,51
1,53
2,10
2,23
1,5
1,11
0,0
1,6
2,9
1,106
2,24
1,13
1,34
1,25
1,6
1,18
1,68
1,21
2,13
0,0
1,21
1,15
1,10
0,0
1,2
1,19
1,2
1,32
1,7
0,0
1,5
1,2
0,0
1,3
1,3
1,7
0,0
1,8
1,13
0,0
2,18
2,10
1,4
0,0
1,10
1,43
2,8
0,0
2,9
1,15
1,10
1,10
1,19
1,24
1,9
1,9
1,9
1,20
1,4
1,47
1,4
2,142
1,15
1,148
1,15
1,43
1,38
1,15
1,62
1,161
0,0
1,47
1,9
1,4
1,7
1,19
0,0
1,9
1,23
1,300
1,272
1,52
2,38
2,191
1,66
1,38
1,38
1,15
3,14
1,29
0,0
1,69
1,38
1,57
1,28
1,300
1,300
1,34
1,19
1,9
2,66
2,9
2,23
1,14
1,14
1,14
1,38
0,0
1,58
1,300
0,0
2,8
0,0
1,9
1,39
2,37
2,43
1,38
8,85
0,0
0,0
1,4
1,38
2,43
1,300
1,300
1,300
1,300
1,38
1,38
1,38
0,0
1,96
1,20
1,15
1,47
1,39
1,10
1,14
2,14
1,5
1,24
1,38
2,262
1,62
1,61
1,52
1,28
0,0
3,43
0,0
1,9
1,47
1,19
2,48
1,57
0,0
2,299
1,15
1,24
10,50
2,9
1,115
1,47
1,15
1,27
1,47
1,14
2,18
1,9
1,5
1,47
2,13
1,24
1,24
1,23
1,9
1,53
1,14
2,18
1,186
1,43
2,28
2,96
1,38
1,9
1,9
1,43
2,18
2,9
1,53
2,10
0,0
1,34
1,24
1,4
1,53
2,33
2,25
1,300
1,300
1,10
1,5
1,38
1,4
1,13
2,9
10,53
3,238
2,38
1,162
2,38
1,24
1,15
1,47
1,10
1,24
0,0
2,13
1,29
1,24
1,10
1,29
1,14
1,300
2,143
2,18
1,19
2,90
1,9
1,66
1,300
1,4
1,15
1,20
1,36
1,14
2,28
1,9
1,4
1,9
1,171
1,9
1,5
1,28
1,86
2,13
1,15
1,9
1,15
2,56
2,109
2,36
2,9
1,15
1,15
1,85
2,32
1,9
2,8
2,20
1,15
2,8
1,19
1,15
1,38
1,38
1,38
1,57
2,38
2,43
1,10
2,8
1,47
2,9
1,29
1,62
1,300
1,300
1,285
1,28
1,9
1,267
1,9
1,34
1,15
1,47
1,10
2,8
1,28
1,5
2,9
3,101
1,33
3,87
1,15
1,15
0,0
1,9
2,13
1,4
1,29
1,47
2,33
0,0
2,8
1,38
2,29
1,15
1,15
2,8
2,8
1,10
2,172
1,47
1,9
1,15
1,15
1,15
2,8
1,133
1,261
1,9
1,9
1,19
1,24
1,9
2,9
0,0
1,71
1,4
1,42
1,15
1,15
1,15
1,15
1,47
1,4
1,24
1,9
0,0
1,15
3,23
1,300
1,300
1,38
1,34
1,28
2,42
1,10
1,38
1,5
1,47
1,47
1,15
2,191
3,37
1,19
1,38
1,38
1,57
1,9
1,29
1,9
1,300
1,38
1,38
1,10
2,36
1,4
1,15
1,19
2,8
1,15
1,5
1,33
0,0
1,47
1,20
1,9
1,9
0,0
1,10
1,15
1,43
2,119
2,53
1,300
1,6
1,14
1,10
1,20
1,28
1,24
1,23
1,300
1,38
1,38
2,19
1,39
1,38
1,300
0,0
1,4
1,9
1,33
1,10
1,4
1,4
1,15
1,9
1,5
1,9
1,15
1,4
1,4
1,9
1,5
1,15
1,9
1,15
1,10
1,4
1,57
1,47
1,47
2,8
1,9
1,4
1,9
2,20
1,5
2,9
2,56
1,20
1,71
1,15
1,104
1,32
1,24
1,9
1,19
1,19
2,8
1,19
1,4
1,15
1,47
1,4
1,38
2,10
1,10
1,5
1,9
4,145
3,29
5,173
1,14
1,33
1,9
1,29
1,15
1,57
1,253
1,15
1,38
1,76
1,142
1,38
2,8
1,66
2,13
0,0
5,271
1,112
3,25
1,23
1,198
4,179
1,15
2,13
1,4
1,15
2,148
0,0
0,0
1,15
2,15
1,9
1,9
1,29
1,20
1,15
2,18
1,9
1,5
1,9
1,15
1,9
1,4
1,4
1,9
1,43
2,85
2,9
1,9
2,8
1,26
1,39
1,53
1,9
1,4
1,24
2,9
1,9
1,15
1,9
1,10
1,47
1,4
1,4
1,9
3,24
0,0
1,43
1,5
2,23
1,24
2,19
1,9
1,19
1,4
1,5
1,62
1,4
1,15
2,29
1,7
1,15
1,33
1,13
1,105
2,47
1,300
1,300
1,300
1,15
10,139
2,196
1,38
1,24
0,0
2,15
1,86
2,204
2,105
1,15
1,19
1,24
1,38
2,57
1,4
1,9
1,42
1,10
1,9
1,272
2,9
1,20
1,9
2,9
1,6
1,5
1,8
1,2
1,15
1,4
1,13
1,10
0,0
2,14
1,47
1,96
2,29
1,285
2,28
2,18
2,38
1,15
1,10
1,3
2,57
3,14
2,77
1,14
0,0
1,57
1,37
1,8
1,77
2,16
1,28
1,29
1,5
1,20
